"Code_ISO","Model","Param","RMSE.calib","MAE.calib","Qtest.calib","Coef","pv_model_p","pv_strig","rho.spearman","rho.pvalue","cli.par","cli.lag"
"AGO","ARIMAX/pr_24","(1,1,1)",0.00190871443613394,0.000549726585312683,1.15865198524467e-06,0.00152339894916846,0.0406294559540002,"0.470661789025241",0.0708790490008739,0.0333972519165703,"pr",24
"AGO","ARIMAX/rh_28","(1,1,1)",0.001909324518667,0.000571268112913216,4.28380589667654e-07,0.00238708830835483,0.00587234625573638,"0.366823774898721",0.0667191891325274,0.0457517140398656,"rh",28
"AGO","ARIMAX/tmax_28","(1,1,1)",0.00191162536594474,0.000563708449073249,5.22669048264035e-07,-0.00124875582514272,0.0201438856094244,"0.380139516310056",-0.0966038915045109,0.0037792372766356,"tmax",28
"AGO","ARIMAX/tmoy_28","(1,1,1)",0.00191161356765583,0.000564748529604058,1.16456721410696e-06,-0.00217772545025708,0.0198466065016554,"0.387173058515033",-0.0884699928558662,0.00802115930697648,"tmoy",28
"BDI","ARIMAX/pr_3","(1,1,2)",0.00431585976578236,0.00141452142245605,0,-0.00613335292397058,0.0182657409055844,"3.5351486077879e-14",0.073024579611352,0.0275242383119711,"pr",3
"BDI","ARIMAX/tmin_18","(1,1,2)",0.00435573907936256,0.00145141161085621,0,-0.00239442194697607,0.0485877905122114,"7.41928507465311e-14",-0.0665311475417161,0.0464896625938293,"tmin",18
"BEN","ARIMAX/insol_17","(2,1,2)",0.00560564079838827,0.00193751595668526,0,0.00259314676382055,0.0186058312052852,"0.0492063630423728",-0.113863574335994,0.000570851410944992,"insol",17
"BEN","ARIMAX/pr_27","(2,1,2)",0.00563589230276452,0.00187314301389072,0,0.00642667006026228,0.00489007112819016,"0.0725683703418048",-0.0906052489563166,0.00646910811922382,"pr",27
"BEN","ARIMAX/rh_2","(2,1,1)",0.00577321044425392,0.00178076840068964,0,0.0058014287347974,0.032710165668784,"0.0354571713095794",-0.109901006883727,0.000802987225908101,"rh",2
"CAF","ARIMAX/pr_18","(0,1,0)",0.00934065381075549,0.00188499751101308,0.999999996947001,-0.00692269028920643,0.0174880510747122,"0.569585787570709",-0.0956822673709107,0.00382534653773789,"pr",18
"CIV","ARIMAX/rh_17","(2,1,4)",0.00125342140425871,0.000604622413681574,0.00063270401607185,0.000938217419922468,0.0263940542787166,"0.478405086762533",-0.123801862818839,0.000171056325952275,"rh",17
"CIV","ARIMAX/tmoy_4","(2,1,4)",0.00124222513135118,0.000601816870262247,0.00296112926196257,-0.00117322771286348,0.00202968866179904,"0.472192076015276",-0.0810496373092966,0.0134199464901745,"tmoy",4
"CMR","ARIMAX/tdew_2","(3,1,3)",0.00501052859778919,0.00193468398626185,0,-0.00602323611338562,0.0376628046226748,"0.957362699635694",-0.121805668568902,0.000185877910816856,"tdew",2
"CMR","ARIMAX/wspd_2","(2,1,2)",0.00500266028949886,0.00194158707930626,0,0.00288584622475723,0.00349296219772921,"0.848061547437276",0.112567520742782,0.000556198192185557,"wspd",2
"COD","ARIMAX/pr_4","(2,1,4)",0.00247864049923677,0.00099532114802894,0,-0.00199158732443704,0.0066679875155265,"1.17649711435449e-06",0.10761138573584,0.00101317894649025,"pr",4
"COG","ARIMAX/rh_18","(3,1,2)",0.00346542346497515,0.00175714107406232,5.76124660289778e-06,0.00206633720528821,0.0080170173584196,"0.778692140521989",-0.114173619847457,0.000551230296898987,"rh",18
"COG","ARIMAX/wspd_27","(3,1,2)",0.00348221603107544,0.00177500978175073,7.61351241507224e-06,0.00168837861372963,0.00879917186161588,"0.861589374162046",-0.101178079241987,0.00233455049960774,"wspd",27
"COM","ARIMAX/ah_13","(4,1,2)",0.00226154776235991,0.000880180314829399,1.22124532708767e-15,0.00211107269837631,0.0231670874334496,"-",-0.0797843397565452,0.0185214278057511,"ah",13
