"dates","cases"
2020-10-29,721770
2020-10-30,723682
2020-10-31,725452
2020-11-01,726823
2020-11-02,727595
2020-11-03,728836
2020-11-04,730548
2020-11-05,732414
2020-11-06,734175
2020-11-07,735906
2020-11-08,737278
2020-11-09,738525
2020-11-10,740254
2020-11-11,742394
2020-11-12,744732
2020-11-13,746945
2020-11-14,749182
2020-11-15,751024
2020-11-16,752269
2020-11-17,754256
2020-11-18,757144
2020-11-19,759658
2020-11-20,762763
2020-11-21,765409
2020-11-22,767679
2020-11-23,769759
2020-11-24,772252
2020-11-25,775502
2020-11-26,778571
2020-11-27,781941
2020-11-28,785139
2020-11-29,787702
2020-11-30,790004
2020-12-01,792299
2020-12-02,796472
2020-12-03,800872
2020-12-04,805804
2020-12-05,810449
2020-12-06,814565
2020-12-07,817878
2020-12-08,821889
2020-12-09,828598
2020-12-10,836764
2020-12-11,845083
2020-12-12,852965
2020-12-13,860964
2020-12-14,866127
2020-12-15,873679
2020-12-16,883687
2020-12-17,892813
2020-12-18,901538
2020-12-19,912477
2020-12-20,921922
2020-12-21,930711
2020-12-22,940212
2020-12-23,954258
2020-12-24,968563
2020-12-25,983359
2020-12-26,994911
2020-12-27,1004413
2020-12-28,1011871
2020-12-29,1021451
2020-12-30,1039161
2020-12-31,1057161
2021-01-01,1073887
2021-01-02,1088889
2021-01-03,1100748
2021-01-04,1113349
2021-01-05,1127759
2021-01-06,1149591
2021-01-07,1170590
2021-01-08,1192570
2021-01-09,1214176
2021-01-10,1231597
2021-01-11,1246643
2021-01-12,1259748
2021-01-13,1278303
2021-01-14,1296806
2021-01-15,1311686
2021-01-16,1325659
2021-01-17,1337926
2021-01-18,1346936
2021-01-19,1356716
2021-01-20,1369426
2021-01-21,1380807
2021-01-22,1392568
2021-01-23,1404839
2021-01-24,1412986
2021-01-25,1417537
2021-01-26,1423578
2021-01-27,1430648
2021-01-28,1437798
2021-01-29,1443939
2021-01-30,1449236
2021-01-31,1453761
2021-02-01,1456309
2021-02-02,1458958
2021-02-03,1463016
2021-02-04,1466767
2021-02-05,1470516
2021-02-06,1473700
2021-02-07,1476135
2021-02-08,1477511
2021-02-09,1479253
2021-02-10,1482412
2021-02-11,1484900
2021-02-12,1487681
2021-02-13,1490063
2021-02-14,1491807
2021-02-15,1492909
2021-02-16,1494119
2021-02-17,1496439
2021-02-18,1498766
2021-02-19,1500677
2021-02-20,1502367
2021-02-21,1503796
2021-02-22,1504588
2021-02-23,1505586
2021-02-24,1507448
2021-02-25,1509124
2021-02-26,1510778
2021-02-27,1512225
2021-02-28,1513393
2021-03-01,1513959
2021-03-02,1514815
2021-03-03,1516262
2021-03-04,1517666
2021-03-05,1518979
2021-03-06,1520206
2021-03-07,1521068
2021-03-08,1521706
2021-03-09,1522697
2021-03-10,1524174
2021-03-11,1525648
2021-03-12,1526873
2021-03-13,1528414
2021-03-14,1529420
2021-03-15,1530033
2021-03-16,1530966
2021-03-17,1532497
2021-03-18,1533961
2021-03-19,1535423
2021-03-20,1536801
2021-03-21,1537852
2021-03-22,1538451
2021-03-23,1538961
2021-03-24,1540009
2021-03-25,1541563
2021-03-26,1543079
2021-03-27,1544466
2021-03-28,1545431
2021-03-29,1545979
2021-03-30,1546735
2021-03-31,1548157
2021-04-01,1549451
2021-04-02,1550724
2021-04-03,1551501
2021-04-04,1551964
2021-04-05,1552416
2021-04-06,1552853
2021-04-07,1553609
2021-04-08,1554975
2021-04-09,1556242
2021-04-10,1557527
2021-04-11,1558458
2021-04-12,1559113
2021-04-13,1559960
2021-04-14,1561559
2021-04-15,1562931
2021-04-16,1564355
2021-04-17,1565680
2021-04-18,1566769
2021-04-19,1567513
2021-04-20,1568366
2021-04-21,1569935
2021-04-22,1571348
2021-04-23,1572985
2021-04-24,1574370
2021-04-25,1575471
2021-04-26,1576320
2021-04-27,1577200
2021-04-28,1578450
2021-04-29,1579536
2021-04-30,1581210
2021-05-01,1582842
2021-05-02,1584064
2021-05-03,1584961
2021-05-04,1586148
2021-05-05,1588221
2021-05-06,1590370
2021-05-07,1592626
2021-05-08,1594817
2021-05-09,1596595
2021-05-10,1597724
2021-05-11,1599272
2021-05-12,1602031
2021-05-13,1605252
2021-05-14,1608393
2021-05-15,1611143
2021-05-16,1613728
2021-05-17,1615485
2021-05-18,1617840
2021-05-19,1621362
2021-05-20,1625003
2021-05-21,1628335
2021-05-22,1632571
2021-05-23,1635465
2021-05-24,1637848
2021-05-25,1640932
2021-05-26,1645555
2021-05-27,1649977
2021-05-28,1654551
2021-05-29,1659070
2021-05-30,1662825
2021-05-31,1665617
2021-06-01,1669231
2021-06-02,1675013
2021-06-03,1680373
2021-06-04,1686041
2021-06-05,1691491
2021-06-06,1696564
2021-06-07,1699849
2021-06-08,1704058
2021-06-09,1712939
2021-06-10,1722086
2021-06-11,1730106
2021-06-12,1739425
2021-06-13,1747082
2021-06-14,1752630
2021-06-15,1761066
2021-06-16,1774312
2021-06-17,1786079
2021-06-18,1796589
2021-06-19,1810164
2021-06-20,1823319
2021-06-21,1832479
2021-06-22,1843572
2021-06-23,1861065
2021-06-24,1877143
2021-06-25,1895905
2021-06-26,1913861
2021-06-27,1928897
2021-06-28,1941119
2021-06-29,1954466
2021-06-30,1973973
2021-07-01,1995556
2021-07-02,2019826
2021-07-03,2046311
2021-07-04,2062896
2021-07-05,2075410
2021-07-06,2090909
2021-07-07,2112336
2021-07-08,2135246
2021-07-09,2157687
2021-07-10,2179297
2021-07-11,2195599
2021-07-12,2206781
2021-07-13,2219316
2021-07-14,2236805
2021-07-15,2253240
2021-07-16,2269179
2021-07-17,2283880
2021-07-18,2294875
2021-07-19,2302304
2021-07-20,2311232
2021-07-21,2327472
2021-07-22,2342330
2021-07-23,2356049
2021-07-24,2368105
2021-07-25,2377823
2021-07-26,2383490
2021-07-27,2391223
2021-07-28,2408525
2021-07-29,2422151
2021-07-30,2435001
2021-07-31,2447445
2021-08-01,2456185
2021-08-02,2461759
2021-08-03,2470747
2021-08-04,2484010
2021-08-05,2497653
2021-08-06,2511169
2021-08-07,2523489
2021-08-08,2533467
2021-08-09,2540223
2021-08-10,2546763
2021-08-11,2554241
2021-08-12,2568512
2021-08-13,2582428
2021-08-14,2595448
2021-08-15,2605587
2021-08-16,2613570
2021-08-17,2624255
2021-08-18,2638982
2021-08-19,2652653
2021-08-20,2666965
2021-08-21,2680226
2021-08-22,2690974
2021-08-23,2698606
2021-08-24,2708952
2021-08-25,2722203
2021-08-26,2734974
2021-08-27,2747019
2021-08-28,2757192
2021-08-29,2764932
2021-08-30,2770576
2021-08-31,2777660
2021-09-01,2787204
2021-09-02,2796406
2021-09-03,2805605
2021-09-04,2814015
2021-09-05,2819946
2021-09-06,2824064
2021-09-07,2829436
2021-09-08,2836774
2021-09-09,2843043
2021-09-10,2848926
2021-09-11,2854235
2021-09-12,2858196
2021-09-13,2860836
2021-09-14,2864535
2021-09-15,2869202
2021-09-16,2873416
2021-09-17,2877063
2021-09-18,2880350
2021-09-19,2882631
2021-09-20,2884135
2021-09-21,2886332
2021-09-22,2889299
2021-09-23,2892082
2021-09-24,2894343
2021-09-25,2895977
2021-09-26,2896944
2021-09-27,2897522
2021-09-28,2898889
2021-09-29,2900995
2021-09-30,2902673
2021-10-01,2904308
2021-10-02,2905614
2021-10-03,2906423
2021-10-04,2906852
2021-10-05,2907620
2021-10-06,2908769
2021-10-07,2909758
2021-10-08,2910682
2021-10-09,2911498
2021-10-10,2912145
2021-10-11,2912347
2021-10-12,2912939
2021-10-13,2913881
2021-10-14,2914828
2021-10-15,2915561
2021-10-16,2916180
2021-10-17,2916594
2021-10-18,2916804
2021-10-19,2917256
2021-10-20,2917847
2021-10-21,2918367
2021-10-22,2918884
2021-10-23,2919333
2021-10-24,2919633
2021-10-25,2919779
2021-10-26,2920110
2021-10-27,2920582
2021-10-28,2921115
2021-10-29,2921590
2021-10-30,2921887
2021-10-31,2922117
2021-11-01,2922223
2021-11-02,2922392
2021-11-03,2922736
2021-11-04,2923055
2021-11-05,2923394
2021-11-06,2923752
2021-11-07,2923957
2021-11-08,2924073
2021-11-09,2924318
2021-11-10,2924622
2021-11-11,2924979
2021-11-12,2925372
2021-11-13,2925678
2021-11-14,2925940
2021-11-15,2926076
2021-11-16,2926349
2021-11-17,2926915
2021-11-18,2927500
2021-11-19,2928289
2021-11-20,2929176
2021-11-21,2929863
2021-11-22,2930175
2021-11-23,2948761
2021-11-24,2950036
2021-11-25,2952501
2021-11-26,2955329
2021-11-27,2958549
2021-11-28,2961407
2021-11-29,2963680
2021-11-30,2968053
2021-12-01,2976614
2021-12-02,2988149
2021-12-03,3004204
2021-12-04,3020570
2021-12-05,3031695
2021-12-06,3038076
2021-12-07,3051223
2021-12-08,3071065
2021-12-09,3093453
2021-12-10,3112470
2021-12-11,3129623
2021-12-12,3167498
2021-12-13,3180786
2021-12-14,3204643
2021-12-15,3231032
2021-12-16,3255817
2021-12-17,3276530
2021-12-18,3292610
2021-12-19,3308075
2021-12-20,3316586
2021-12-21,3332009
2021-12-22,3353107
2021-12-23,3374263
2021-12-24,3393110
2021-12-25,3407938
2021-12-26,3413541
2021-12-27,3417319
2021-12-28,3424535
2021-12-29,3433555
2021-12-30,3446533
2021-12-31,3458287
2022-01-01,3468080
2022-01-02,3472437
2022-01-03,3475513
2022-01-04,3483591
2022-01-05,3494697
2022-01-06,3504555
2022-01-07,3513814
2022-01-08,3521573
2022-01-09,3526055
2022-01-10,3528464
2022-01-11,3534132
2022-01-12,3540892
2022-01-13,3546809
2022-01-14,3552044
2022-01-15,3556634
2022-01-16,3559231
2022-01-17,3560922
2022-01-18,3564579
2022-01-19,3568901
2022-01-20,3572861
2022-01-21,3576380
2022-01-22,3579429
2022-01-23,3581360
2022-01-24,3582692
2022-01-25,3585889
2022-01-26,3590400
2022-01-27,3594500
2022-01-28,3598289
2022-01-29,3601631
2022-01-30,3603857
2022-01-31,3605223
2022-02-01,3608308
2022-02-02,3612810
2022-02-03,3616076
2022-02-04,3618854
2022-02-05,3622211
2022-02-06,3623963
2022-02-07,3625191
2022-02-08,3628015
2022-02-09,3631643
2022-02-10,3634812
2022-02-11,3637674
2022-02-12,3640163
2022-02-13,3641812
2022-02-14,3642906
2022-02-15,3645270
2022-02-16,3648969
2022-02-17,3652025
2022-02-18,3654825
2022-02-19,3657092
2022-02-20,3658548
2022-02-21,3659699
2022-02-22,3662033
2022-02-23,3665150
2022-02-24,3667561
2022-02-25,3669672
2022-02-26,3671991
2022-02-27,3673257
2022-02-28,3674043
2022-03-01,3675692
2022-03-02,3677687
2022-03-03,3679540
2022-03-04,3681438
2022-03-05,3683173
2022-03-06,3684320
2022-03-07,3685121
2022-03-08,3686557
2022-03-09,3688424
2022-03-10,3690292
2022-03-11,3691963
2022-03-12,3693533
2022-03-13,3694505
2022-03-14,3695176
2022-03-15,3696824
2022-03-16,3698804
2022-03-17,3700485
2022-03-18,3702043
2022-03-19,3703330
2022-03-20,3704219
2022-03-21,3704785
2022-03-22,3705697
2022-03-23,3707090
2022-03-24,3709210
2022-03-25,3710767
2022-03-26,3712264
2022-03-27,3713253
2022-03-28,3713834
2022-03-29,3715389
2022-03-30,3717068
2022-03-31,3718954
2022-04-01,3720646
2022-04-02,3722066
2022-04-03,3722955
2022-04-04,3723640
2022-04-05,3725178
2022-04-06,3727209
2022-04-07,3728690
2022-04-08,3730067
2022-04-09,3731248
2022-04-10,3732076
2022-04-11,3732629
2022-04-12,3733920
2022-04-13,3735579
2022-04-14,3737347
2022-04-15,3739193
2022-04-16,3740399
2022-04-17,3741231
2022-04-18,3742108
2022-04-19,3743583
2022-04-20,3746425
2022-04-21,3750831
2022-04-22,3755460
2022-04-23,3759690
2022-04-24,3762912
2022-04-25,3764866
2022-04-26,3769927
2022-04-27,3776299
2022-04-28,3780445
2022-04-29,3785399
2022-04-30,3791926
2022-05-01,3795764
2022-05-02,3798414
2022-05-03,3802199
2022-05-04,3808369
2022-05-05,3818126
2022-05-06,3827379
2022-05-07,3835903
2022-05-08,3841389
2022-05-09,3844626
2022-05-10,3852149
2022-05-11,3862166
2022-05-12,3871086
2022-05-13,3879435
2022-05-14,3887450
2022-05-15,3891794
2022-05-16,3894746
2022-05-17,3899842
2022-05-18,3908021
2022-05-19,3915259
2022-05-20,3921634
2022-05-21,3926652
2022-05-22,3929872
2022-05-23,3931534
2022-05-24,3935761
2022-05-25,3941045
2022-05-26,3944845
2022-05-27,3948119
2022-05-28,3952193
2022-05-29,3953967
2022-05-30,3954971
2022-05-31,3957777
2022-06-01,3960424
2022-06-02,3963394
2022-06-03,3965422
2022-06-04,3966813
2022-06-05,3968205
2022-06-06,3968931
2022-06-07,3970993
2022-06-08,3973086
2022-06-09,3975062
2022-06-10,3976653
2022-06-11,3977621
2022-06-12,3978590
2022-06-13,3979126
2022-06-14,3979836
2022-06-15,3981739
2022-06-16,3983675
2022-06-17,3984646
2022-06-18,3985606
2022-06-19,3986601
2022-06-20,3986892
2022-06-21,3987979
2022-06-22,3989007
2022-06-23,3990057
2022-06-24,3991003
2022-06-25,3991944
2022-06-26,3992449
2022-06-27,3992661
2022-06-28,3993004
2022-06-29,3993444
2022-06-30,3993843
2022-07-01,3994223
2022-07-02,3995065
2022-07-03,3995291
2022-07-04,3995400
2022-07-05,3995784
2022-07-06,3996441
2022-07-07,3996904
2022-07-08,3997269
